inventory_id,store_id,product_id,record_date,stock_qty,reorder_level,stock_status,supplier_lead_days
INV000091,STR002,PRD0056,2023-11-20,42,44,Low Stock,3
INV000092,STR022,PRD0054,2023-03-21,152,12,In Stock,6
INV000093,STR037,PRD0017,2023-05-18,24,27,Low Stock,12
INV000094,STR036,PRD0010,2023-08-30,136,16,In Stock,21
INV000095,STR042,PRD0017,2023-04-02,153,27,In Stock,19
INV000096,STR020,PRD0057,2023-12-10,8,15,Low Stock,26
INV000097,STR041,PRD0026,2023-03-26,129,14,In Stock,20
INV000098,STR044,PRD0022,2023-11-28,19,8,In Stock,20
INV000099,STR049,PRD0023,2023-03-09,76,26,In Stock,16
INV000100,STR004,PRD0012,2023-06-08,42,10,In Stock,9
INV000101,STR043,PRD0001,2023-07-07,136,17,In Stock,7
INV000102,STR038,PRD0060,2023-11-12,134,39,In Stock,30
INV000103,STR024,PRD0013,2023-03-30,7,50,Low Stock,5
INV000104,STR045,PRD0009,2023-09-10,12,42,Low Stock,3
INV000105,STR046,PRD0047,2023-11-29,45,47,Low Stock,23
INV000106,STR030,PRD0053,2023-08-23,51,38,In Stock,4
INV000107,STR049,PRD0026,2023-03-18,158,14,In Stock,22
INV000108,STR028,PRD0044,2023-06-02,184,24,In Stock,13
INV000109,STR015,PRD0044,2023-03-29,172,24,In Stock,30
INV000110,STR013,PRD0021,2023-08-04,5,26,Low Stock,28
INV000111,STR002,PRD0034,2023-03-27,127,9,In Stock,16
INV000112,STR027,PRD0012,2023-02-19,3,10,Low Stock,28
INV000113,STR047,PRD0018,2023-12-07,71,39,In Stock,14
INV000114,STR007,PRD0044,2023-02-27,40,24,In Stock,20
INV000115,STR002,PRD0058,2023-11-16,155,45,In Stock,4
INV000116,STR038,PRD0014,2023-06-01,13,46,Low Stock,29
INV000117,STR008,PRD0024,2023-01-10,116,50,In Stock,19
INV000118,STR014,PRD0004,2023-11-24,14,5,In Stock,6
INV000119,STR032,PRD0059,2023-06-29,110,9,In Stock,25
INV000120,STR022,PRD0040,2023-07-31,8,47,Low Stock,16
INV000121,STR044,PRD0053,2023-12-04,135,38,In Stock,9
INV000122,STR010,PRD0050,2023-07-29,85,34,In Stock,12
INV000123,STR017,PRD0026,2023-07-08,114,14,In Stock,29
INV000124,STR023,PRD0009,2023-03-18,36,42,Low Stock,30
INV000125,STR048,PRD0024,2023-12-10,56,50,In Stock,22
INV000126,STR028,PRD0028,2023-11-06,110,27,In Stock,30
INV000127,STR004,PRD0040,2023-02-14,65,47,In Stock,8
INV000128,STR019,PRD0009,2023-03-08,79,42,In Stock,13
INV000129,STR041,PRD0021,2023-11-24,137,26,In Stock,7
INV000130,STR033,PRD0042,2023-05-15,164,49,In Stock,29
INV000131,STR042,PRD0049,2023-10-29,79,7,In Stock,6
INV000132,STR006,PRD0020,2023-05-08,142,40,In Stock,22
INV000133,STR030,PRD0028,2023-06-28,132,27,In Stock,4
INV000134,STR047,PRD0032,2023-04-15,152,34,In Stock,5
INV000135,STR046,PRD0042,2023-03-01,0,49,Low Stock,28
INV000136,STR010,PRD0031,2023-09-15,96,11,In Stock,11
INV000137,STR040,PRD0024,2023-06-23,33,50,Low Stock,9
INV000138,STR050,PRD0036,2023-12-20,157,16,In Stock,29
INV000139,STR012,PRD0014,2023-11-18,17,46,Low Stock,4
INV000140,STR017,PRD0032,2023-07-02,137,34,In Stock,30
INV000141,STR005,PRD0010,2023-02-11,189,16,In Stock,21
INV000142,STR045,PRD0034,2023-08-06,123,9,In Stock,6
INV000143,STR048,PRD0008,2023-04-04,9,8,In Stock,4
INV000144,STR046,PRD0060,2023-12-29,36,39,Low Stock,3
INV000145,STR043,PRD0024,2023-05-21,39,50,Low Stock,25
INV000146,STR036,PRD0055,2023-02-08,172,40,In Stock,8
INV000147,STR047,PRD0002,2023-03-05,94,34,In Stock,22
INV000148,STR002,PRD0008,2023-02-12,170,8,In Stock,30
INV000149,STR042,PRD0055,2023-11-14,190,40,In Stock,15
INV000150,STR042,PRD0036,2023-11-19,156,16,In Stock,8
INV000151,STR042,PRD0003,2023-10-30,110,40,In Stock,19
INV000152,STR025,PRD0007,2023-10-22,66,40,In Stock,28
INV000153,STR025,PRD0051,2023-12-01,61,30,In Stock,13
INV000154,STR029,PRD0027,2023-12-19,93,7,In Stock,19
INV000155,STR046,PRD0046,2023-01-21,43,37,In Stock,11
INV000156,STR034,PRD0041,2023-05-30,162,24,In Stock,25
INV000157,STR023,PRD0052,2023-01-14,36,11,In Stock,23
INV000158,STR011,PRD0012,2023-11-13,7,10,Low Stock,13
INV000159,STR001,PRD0057,2023-11-26,184,15,In Stock,19
INV000160,STR039,PRD0004,2023-02-17,138,5,In Stock,9
INV000161,STR012,PRD0027,2023-08-26,58,7,In Stock,17
INV000162,STR006,PRD0044,2023-01-28,130,24,In Stock,11
INV000163,STR009,PRD0059,2023-08-18,67,9,In Stock,5
INV000164,STR024,PRD0023,2023-04-20,29,26,In Stock,6
INV000165,STR015,PRD0052,2023-08-01,150,11,In Stock,12
INV000166,STR044,PRD0026,2023-07-18,55,14,In Stock,25
INV000167,STR005,PRD0036,2023-05-09,17,16,In Stock,14
INV000168,STR021,PRD0035,2023-07-28,20,39,Low Stock,26
INV000169,STR045,PRD0024,2023-12-01,163,50,In Stock,4
INV000170,STR032,PRD0032,2023-02-24,66,34,In Stock,27
INV000171,STR038,PRD0035,2023-06-05,191,39,In Stock,22
INV000172,STR015,PRD0013,2023-09-09,96,50,In Stock,21
INV000173,STR028,PRD0030,2023-10-13,74,26,In Stock,11
INV000174,STR018,PRD0045,2023-02-07,186,46,In Stock,4
INV000175,STR016,PRD0040,2023-02-05,24,47,Low Stock,6
INV000176,STR021,PRD0048,2023-02-09,164,20,In Stock,19
INV000177,STR013,PRD0013,2023-07-23,83,50,In Stock,26
INV000178,STR023,PRD0059,2023-12-31,94,9,In Stock,20
INV000179,STR028,PRD0035,2023-02-20,81,39,In Stock,4
INV000180,STR030,PRD0030,2023-12-18,137,26,In Stock,3
INV000181,STR027,PRD0038,2023-07-18,134,29,In Stock,3
INV000182,STR022,PRD0004,2023-10-11,11,5,In Stock,6
INV000183,STR005,PRD0044,2023-08-10,93,24,In Stock,3
INV000184,STR038,PRD0041,2023-03-15,58,24,In Stock,12
INV000185,STR022,PRD0008,2023-10-17,43,8,In Stock,29
INV000186,STR012,PRD0033,2023-08-04,7,19,Low Stock,3
INV000187,STR007,PRD0049,2023-05-13,37,7,In Stock,28
INV000188,STR010,PRD0015,2023-11-29,136,9,In Stock,15
INV000189,STR014,PRD0017,2023-11-25,101,27,In Stock,17
INV000190,STR018,PRD0040,2023-12-16,28,47,Low Stock,8
INV000191,STR016,PRD0043,2023-03-01,164,29,In Stock,16
INV000192,STR042,PRD0016,2023-07-19,191,11,In Stock,15
INV000193,STR033,PRD0043,2023-06-02,122,29,In Stock,23
INV000194,STR011,PRD0031,2023-12-27,30,11,In Stock,15
INV000195,STR046,PRD0028,2023-05-29,152,27,In Stock,26
INV000196,STR009,PRD0009,2023-08-11,45,42,In Stock,5
INV000197,STR027,PRD0052,2023-04-01,22,11,In Stock,14
INV000198,STR041,PRD0010,2023-01-18,93,16,In Stock,28
INV000199,STR027,PRD0033,2023-07-17,141,19,In Stock,19
INV000200,STR048,PRD0031,2023-04-15,167,11,In Stock,23
INV000201,STR018,PRD0058,2023-06-11,180,45,In Stock,23
INV000202,STR019,PRD0057,2023-09-29,31,15,In Stock,7
INV000203,STR027,PRD0002,2023-07-24,160,34,In Stock,8
INV000204,STR011,PRD0021,2023-03-29,49,26,In Stock,9
INV000205,STR040,PRD0037,2023-05-24,28,27,In Stock,22
INV000206,STR005,PRD0011,2023-07-22,96,12,In Stock,12
INV000207,STR009,PRD0012,2023-08-12,158,10,In Stock,22
INV000208,STR045,PRD0018,2023-01-09,21,39,Low Stock,27
INV000209,STR037,PRD0005,2023-04-04,142,18,In Stock,11
INV000210,STR038,PRD0056,2023-01-18,72,44,In Stock,9
INV000211,STR008,PRD0046,2023-07-23,155,37,In Stock,29
INV000212,STR042,PRD0054,2023-06-03,145,12,In Stock,9
INV000213,STR032,PRD0059,2023-12-26,25,9,In Stock,30
INV000214,STR008,PRD0052,2023-05-22,90,11,In Stock,24
INV000215,STR035,PRD0060,2023-08-02,138,39,In Stock,7
INV000216,STR023,PRD0009,2023-02-04,176,42,In Stock,22
INV000217,STR024,PRD0036,2023-02-10,168,16,In Stock,15
INV000218,STR002,PRD0040,2023-12-02,11,47,Low Stock,3
INV000219,STR012,PRD0029,2023-07-27,193,20,In Stock,19
INV000220,STR023,PRD0031,2023-10-17,1,11,Low Stock,25
INV000221,STR017,PRD0030,2023-07-03,40,26,In Stock,5
INV000222,STR001,PRD0020,2023-02-17,200,40,In Stock,24
INV000223,STR025,PRD0056,2023-02-25,62,44,In Stock,27
INV000224,STR027,PRD0047,2023-03-11,146,47,In Stock,14
INV000225,STR033,PRD0031,2023-04-18,160,11,In Stock,20
INV000226,STR031,PRD0033,2023-04-11,98,19,In Stock,23
INV000227,STR010,PRD0035,2023-05-24,125,39,In Stock,26
INV000228,STR003,PRD0023,2023-05-16,46,26,In Stock,13
INV000229,STR008,PRD0037,2023-12-22,99,27,In Stock,3
INV000230,STR026,PRD0035,2023-07-15,126,39,In Stock,14
INV000231,STR031,PRD0050,2023-08-04,14,34,Low Stock,8
INV000232,STR049,PRD0046,2023-10-05,122,37,In Stock,4
INV000233,STR048,PRD0001,2023-07-01,91,17,In Stock,22
INV000234,STR035,PRD0041,2023-11-16,130,24,In Stock,5
INV000235,STR006,PRD0011,2023-09-13,23,12,In Stock,7
INV000236,STR015,PRD0042,2023-05-15,158,49,In Stock,16
INV000237,STR038,PRD0011,2023-05-28,121,12,In Stock,20
INV000238,STR030,PRD0033,2023-10-22,173,19,In Stock,21
INV000239,STR014,PRD0051,2023-07-09,167,30,In Stock,25
INV000240,STR027,PRD0008,2023-07-25,60,8,In Stock,18
INV000241,STR040,PRD0038,2023-02-16,164,29,In Stock,12
INV000242,STR008,PRD0059,2023-03-29,156,9,In Stock,23
INV000243,STR011,PRD0046,2023-04-30,48,37,In Stock,18
INV000244,STR045,PRD0044,2023-04-16,122,24,In Stock,23
INV000245,STR013,PRD0033,2023-03-20,56,19,In Stock,14
INV000246,STR022,PRD0056,2023-12-20,152,44,In Stock,28
INV000247,STR004,PRD0037,2023-10-16,80,27,In Stock,27
INV000248,STR041,PRD0021,2023-04-02,140,26,In Stock,30
INV000249,STR040,PRD0048,2023-08-10,137,20,In Stock,17
INV000250,STR029,PRD0021,2023-04-21,152,26,In Stock,6
INV000251,STR046,PRD0052,2023-07-07,12,11,In Stock,20
INV000252,STR030,PRD0059,2023-09-01,45,9,In Stock,23
INV000253,STR050,PRD0034,2023-12-02,44,9,In Stock,20
INV000254,STR007,PRD0007,2023-08-14,32,40,Low Stock,21
INV000255,STR004,PRD0008,2023-07-21,93,8,In Stock,14
INV000256,STR008,PRD0018,2023-07-07,82,39,In Stock,15
INV000257,STR006,PRD0008,2023-08-28,32,8,In Stock,28
INV000258,STR008,PRD0005,2023-06-16,53,18,In Stock,14
INV000259,STR018,PRD0045,2023-12-30,138,46,In Stock,30
INV000260,STR045,PRD0016,2023-06-20,58,11,In Stock,27
INV000261,STR043,PRD0051,2023-09-15,81,30,In Stock,19
INV000262,STR007,PRD0027,2023-03-27,75,7,In Stock,7
INV000263,STR023,PRD0051,2023-07-17,16,30,Low Stock,30
INV000264,STR032,PRD0049,2023-10-07,187,7,In Stock,29
INV000265,STR005,PRD0050,2023-03-03,68,34,In Stock,30
INV000266,STR045,PRD0056,2023-01-14,32,44,Low Stock,7
INV000267,STR002,PRD0002,2023-11-24,50,34,In Stock,9
INV000268,STR018,PRD0036,2023-04-20,24,16,In Stock,17
INV000269,STR015,PRD0005,2023-01-05,98,18,In Stock,13
INV000270,STR038,PRD0007,2023-11-08,180,40,In Stock,19
INV000271,STR039,PRD0012,2023-04-06,80,10,In Stock,28
INV000272,STR035,PRD0022,2023-10-01,176,8,In Stock,28
INV000273,STR034,PRD0012,2023-10-08,102,10,In Stock,10
INV000274,STR046,PRD0059,2023-06-08,110,9,In Stock,29
INV000275,STR028,PRD0016,2023-03-06,144,11,In Stock,7
INV000276,STR023,PRD0060,2023-01-29,103,39,In Stock,19
INV000277,STR037,PRD0031,2023-03-06,77,11,In Stock,18
INV000278,STR027,PRD0015,2023-12-19,199,9,In Stock,5
INV000279,STR040,PRD0013,2023-09-08,101,50,In Stock,21
INV000280,STR011,PRD0015,2023-11-20,63,9,In Stock,20
INV000281,STR031,PRD0006,2023-10-07,90,29,In Stock,15
INV000282,STR042,PRD0033,2023-12-07,63,19,In Stock,10
INV000283,STR010,PRD0012,2023-02-18,154,10,In Stock,27
INV000284,STR042,PRD0010,2023-09-08,30,16,In Stock,6
INV000285,STR022,PRD0034,2023-01-11,58,9,In Stock,20
INV000286,STR034,PRD0056,2023-05-16,26,44,Low Stock,28
INV000287,STR027,PRD0030,2023-12-07,64,26,In Stock,14
INV000288,STR010,PRD0044,2023-06-05,138,24,In Stock,25
INV000289,STR042,PRD0056,2023-12-22,8,44,Low Stock,28
INV000290,STR003,PRD0028,2023-03-19,26,27,Low Stock,12
INV000291,STR009,PRD0001,2023-08-23,70,17,In Stock,18
INV000292,STR013,PRD0053,2023-01-09,97,38,In Stock,27
INV000293,STR020,PRD0056,2023-07-12,94,44,In Stock,29
INV000294,STR040,PRD0006,2023-05-06,74,29,In Stock,28
INV000295,STR021,PRD0038,2023-05-14,108,29,In Stock,11
INV000296,STR049,PRD0047,2023-10-24,139,47,In Stock,9
INV000297,STR041,PRD0024,2023-09-07,78,50,In Stock,7
INV000298,STR049,PRD0013,2023-11-29,160,50,In Stock,18
INV000299,STR050,PRD0057,2023-05-10,80,15,In Stock,21
INV000300,STR009,PRD0047,2023-11-13,151,47,In Stock,23
INV000301,STR031,PRD0039,2023-12-03,9,5,In Stock,6
INV000302,STR013,PRD0039,2023-05-04,116,5,In Stock,5
INV000303,STR028,PRD0053,2023-02-21,87,38,In Stock,21
INV000304,STR027,PRD0009,2023-06-27,136,42,In Stock,25
INV000305,STR022,PRD0022,2023-02-15,145,8,In Stock,30
INV000306,STR033,PRD0037,2023-08-06,38,27,In Stock,30
INV000307,STR028,PRD0032,2023-04-05,37,34,In Stock,19
INV000308,STR040,PRD0024,2023-05-03,71,50,In Stock,21
INV000309,STR042,PRD0023,2023-05-02,144,26,In Stock,8
INV000310,STR038,PRD0050,2023-01-31,197,34,In Stock,4
INV000311,STR005,PRD0033,2023-08-24,150,19,In Stock,13
INV000312,STR031,PRD0024,2023-07-08,143,50,In Stock,3
INV000313,STR011,PRD0017,2023-04-27,90,27,In Stock,10
INV000314,STR036,PRD0056,2023-10-16,25,44,Low Stock,4
INV000315,STR047,PRD0001,2023-10-04,119,17,In Stock,11
INV000316,STR036,PRD0009,2023-09-09,12,42,Low Stock,5
INV000317,STR039,PRD0004,2023-01-19,47,5,In Stock,27
INV000318,STR012,PRD0023,2023-11-19,196,26,In Stock,22
INV000319,STR008,PRD0008,2023-05-05,38,8,In Stock,30
INV000320,STR003,PRD0026,2023-08-07,148,14,In Stock,24
INV000321,STR031,PRD0026,2023-10-29,145,14,In Stock,30
INV000322,STR037,PRD0058,2023-02-17,134,45,In Stock,12
INV000323,STR030,PRD0052,2023-12-15,162,11,In Stock,15
INV000324,STR042,PRD0011,2023-06-04,169,12,In Stock,6
INV000325,STR012,PRD0015,2023-10-13,117,9,In Stock,26
INV000326,STR033,PRD0047,2023-12-12,28,47,Low Stock,30
INV000327,STR035,PRD0033,2023-10-23,110,19,In Stock,6
INV000328,STR043,PRD0024,2023-11-24,173,50,In Stock,28
INV000329,STR035,PRD0015,2023-05-02,196,9,In Stock,27
INV000330,STR036,PRD0003,2023-12-29,113,40,In Stock,15
INV000331,STR029,PRD0044,2023-07-04,30,24,In Stock,10
INV000332,STR039,PRD0019,2023-04-26,104,47,In Stock,26
INV000333,STR043,PRD0004,2023-10-20,180,5,In Stock,29
INV000334,STR002,PRD0011,2023-04-29,127,12,In Stock,8
INV000335,STR022,PRD0033,2023-04-26,168,19,In Stock,15
INV000336,STR004,PRD0028,2023-05-10,25,27,Low Stock,5
INV000337,STR016,PRD0050,2023-03-15,198,34,In Stock,10
INV000338,STR010,PRD0019,2023-10-14,17,47,Low Stock,9
INV000339,STR017,PRD0054,2023-01-07,129,12,In Stock,5
INV000340,STR036,PRD0015,2023-09-30,184,9,In Stock,22
INV000341,STR041,PRD0025,2023-07-24,117,49,In Stock,28
INV000342,STR020,PRD0043,2023-02-21,112,29,In Stock,13
INV000343,STR024,PRD0037,2023-08-24,120,27,In Stock,7
INV000344,STR040,PRD0059,2023-01-22,75,9,In Stock,6
INV000345,STR040,PRD0033,2023-04-15,24,19,In Stock,13
INV000346,STR018,PRD0051,2023-08-11,100,30,In Stock,25
INV000347,STR020,PRD0027,2023-05-08,3,7,Low Stock,7
INV000348,STR021,PRD0015,2023-04-09,185,9,In Stock,28
INV000349,STR024,PRD0004,2023-10-18,75,5,In Stock,18
INV000350,STR018,PRD0058,2023-01-19,121,45,In Stock,3
INV000351,STR037,PRD0039,2023-01-23,121,5,In Stock,16
INV000352,STR028,PRD0058,2023-09-21,99,45,In Stock,20
INV000353,STR046,PRD0059,2023-09-25,67,9,In Stock,9
INV000354,STR035,PRD0056,2023-01-02,13,44,Low Stock,29
INV000355,STR042,PRD0035,2023-02-28,47,39,In Stock,29
INV000356,STR031,PRD0057,2023-03-08,57,15,In Stock,11
INV000357,STR017,PRD0055,2023-09-15,28,40,Low Stock,21
INV000358,STR045,PRD0026,2023-12-17,130,14,In Stock,14
INV000359,STR021,PRD0006,2023-08-28,116,29,In Stock,22
INV000360,STR043,PRD0004,2023-02-13,198,5,In Stock,10
INV000361,STR024,PRD0032,2023-09-21,18,34,Low Stock,19
INV000362,STR021,PRD0036,2023-03-11,109,16,In Stock,10
INV000363,STR019,PRD0059,2023-02-10,77,9,In Stock,30
INV000364,STR001,PRD0053,2023-07-26,186,38,In Stock,17
INV000365,STR025,PRD0054,2023-04-10,190,12,In Stock,15
INV000366,STR043,PRD0053,2023-02-19,174,38,In Stock,18
INV000367,STR019,PRD0044,2023-11-30,199,24,In Stock,11
INV000368,STR006,PRD0049,2023-10-06,128,7,In Stock,14
INV000369,STR022,PRD0002,2023-03-28,9,34,Low Stock,23
INV000370,STR004,PRD0034,2023-08-11,27,9,In Stock,4
INV000371,STR032,PRD0029,2023-03-19,15,20,Low Stock,8
INV000372,STR023,PRD0039,2023-09-19,75,5,In Stock,27
INV000373,STR026,PRD0033,2023-10-19,129,19,In Stock,22
INV000374,STR015,PRD0001,2023-10-15,152,17,In Stock,22
INV000375,STR018,PRD0050,2023-04-21,78,34,In Stock,11
INV000376,STR017,PRD0028,2023-02-03,54,27,In Stock,21
INV000377,STR017,PRD0003,2023-11-10,100,40,In Stock,8
INV000378,STR026,PRD0020,2023-09-07,1,40,Low Stock,5
INV000379,STR023,PRD0054,2023-07-29,119,12,In Stock,17
INV000380,STR039,PRD0001,2023-02-15,62,17,In Stock,20
INV000381,STR017,PRD0054,2023-11-16,6,12,Low Stock,29
INV000382,STR027,PRD0026,2023-09-06,0,14,Low Stock,30
INV000383,STR040,PRD0021,2023-09-07,0,26,Low Stock,27
INV000384,STR007,PRD0001,2023-08-26,152,17,In Stock,17
INV000385,STR018,PRD0034,2023-10-23,54,9,In Stock,11
INV000386,STR005,PRD0039,2023-02-22,193,5,In Stock,10
INV000387,STR007,PRD0015,2023-08-31,200,9,In Stock,14
INV000388,STR014,PRD0010,2023-02-03,7,16,Low Stock,21
INV000389,STR044,PRD0030,2023-10-12,5,26,Low Stock,29
INV000390,STR043,PRD0048,2023-10-16,36,20,In Stock,26
INV000391,STR019,PRD0051,2023-02-13,125,30,In Stock,3
INV000392,STR018,PRD0027,2023-09-01,198,7,In Stock,11
INV000393,STR009,PRD0054,2023-04-25,88,12,In Stock,6
INV000394,STR038,PRD0027,2023-05-06,116,7,In Stock,3
INV000395,STR032,PRD0013,2023-08-06,168,50,In Stock,27
INV000396,STR027,PRD0029,2023-10-18,41,20,In Stock,20
INV000397,STR037,PRD0013,2023-03-12,16,50,Low Stock,25
INV000398,STR015,PRD0004,2023-08-07,101,5,In Stock,4
INV000399,STR005,PRD0027,2023-02-15,167,7,In Stock,8
INV000400,STR012,PRD0034,2023-12-15,107,9,In Stock,14
INV000401,STR023,PRD0009,2023-09-12,198,42,In Stock,30
INV000402,STR004,PRD0054,2023-01-16,20,12,In Stock,14
INV000403,STR032,PRD0027,2023-04-01,1,7,Low Stock,16
INV000404,STR033,PRD0020,2023-04-14,101,40,In Stock,10
INV000405,STR013,PRD0019,2023-06-21,197,47,In Stock,17
INV000406,STR006,PRD0020,2023-03-24,159,40,In Stock,10
INV000407,STR033,PRD0046,2023-07-14,101,37,In Stock,15
INV000408,STR041,PRD0033,2023-08-03,62,19,In Stock,18
INV000409,STR039,PRD0010,2023-11-12,178,16,In Stock,12
INV000410,STR036,PRD0030,2023-08-25,11,26,Low Stock,22
INV000411,STR049,PRD0036,2023-04-28,27,16,In Stock,19
INV000412,STR021,PRD0015,2023-01-27,68,9,In Stock,24
INV000413,STR001,PRD0059,2023-08-11,45,9,In Stock,11
INV000414,STR036,PRD0004,2023-06-05,93,5,In Stock,30
INV000415,STR007,PRD0033,2023-07-25,73,19,In Stock,22
INV000416,STR012,PRD0009,2023-08-31,148,42,In Stock,5
INV000417,STR021,PRD0008,2023-02-17,47,8,In Stock,7
INV000418,STR015,PRD0026,2023-04-08,157,14,In Stock,16
INV000419,STR032,PRD0052,2023-08-21,145,11,In Stock,24
