return_id,order_id,return_date,reason,status,refund_amount,resolution_type
RET00060,ORD023694,2023-05-31,Size not fitting,Approved,7080.36,Exchange
RET00061,ORD036592,2023-12-26,Size not fitting,Approved,6301.96,Refund
RET00062,ORD043630,2023-01-18,Changed mind,Pending,15865.87,Exchange
RET00063,ORD043092,2023-04-16,Damaged packaging,Pending,19017.45,Store Credit
RET00064,ORD047731,2022-10-29,Defective product,Rejected,8571.39,Exchange
RET00065,ORD007673,2022-06-25,Defective product,Pending,7758.21,Exchange
RET00066,ORD034239,2023-03-30,Size not fitting,Pending,6123.84,Exchange
RET00067,ORD017503,2022-11-23,Damaged packaging,Approved,1091.99,Store Credit
RET00068,ORD038096,2023-05-15,Wrong item delivered,Approved,9621.63,Refund
RET00069,ORD027242,2022-11-20,Better price elsewhere,Approved,8217.29,Refund
RET00070,ORD026022,2023-10-04,Changed mind,Rejected,6114.26,Exchange
RET00071,ORD031863,2023-09-13,Defective product,Rejected,677.52,Refund
RET00072,ORD042573,2023-01-07,Better price elsewhere,Approved,3458.08,Refund
RET00073,ORD028204,2023-06-24,Damaged packaging,Pending,6953.04,Refund
RET00074,ORD048384,2022-09-30,Defective product,Approved,80.01,Store Credit
RET00075,ORD038007,2022-09-18,Wrong item delivered,Pending,5676.84,Exchange
RET00076,ORD016097,2023-06-04,Changed mind,Rejected,13399.92,Store Credit
RET00077,ORD038047,2022-03-10,Defective product,Approved,41084.58,Store Credit
RET00078,ORD000221,2023-03-08,Changed mind,Rejected,9901.0,Exchange
RET00079,ORD040791,2023-02-10,Better price elsewhere,Pending,11994.64,Store Credit
RET00080,ORD041908,2022-10-07,Better price elsewhere,Rejected,12914.06,Store Credit
RET00081,ORD020827,2022-11-07,Defective product,Approved,15093.91,Refund
RET00082,ORD037090,2023-05-03,Wrong item delivered,Rejected,5331.7,Store Credit
RET00083,ORD042647,2022-03-05,Better price elsewhere,Pending,2146.27,Store Credit
RET00084,ORD018237,2022-09-03,Defective product,Pending,1520.7,Store Credit
RET00085,ORD029818,2022-03-16,Size not fitting,Rejected,25776.75,Exchange
RET00086,ORD018486,2023-04-18,Changed mind,Approved,2870.83,Refund
RET00087,ORD037621,2022-05-30,Damaged packaging,Approved,1164.52,Refund
RET00088,ORD016431,2023-12-02,Better price elsewhere,Rejected,882.05,Store Credit
RET00089,ORD046096,2023-05-29,Damaged packaging,Rejected,7826.49,Exchange
RET00090,ORD020558,2022-12-07,Late delivery,Approved,25500.38,Exchange
RET00091,ORD024630,2022-12-07,Changed mind,Approved,3593.34,Store Credit
RET00092,ORD011871,2022-11-13,Changed mind,Approved,17577.28,Refund
RET00093,ORD035849,2023-03-04,Changed mind,Approved,38898.4,Store Credit
RET00094,ORD048386,2023-07-25,Size not fitting,Pending,1620.92,Exchange
RET00095,ORD043845,2023-12-03,Late delivery,Approved,18563.4,Refund
RET00096,ORD026264,2022-10-27,Late delivery,Approved,5050.85,Store Credit
RET00097,ORD019539,2022-06-01,Wrong item delivered,Pending,235060.75,Store Credit
RET00098,ORD019289,2022-05-12,Wrong item delivered,Approved,206987.49,Store Credit
RET00099,ORD047592,2023-10-07,Damaged packaging,Approved,3444.42,Store Credit
RET00100,ORD021593,2023-04-16,Damaged packaging,Rejected,732.68,Store Credit
RET00101,ORD029419,2022-10-19,Damaged packaging,Approved,10702.6,Exchange
RET00102,ORD008693,2023-08-29,Size not fitting,Pending,10409.31,Store Credit
RET00103,ORD023035,2023-01-18,Size not fitting,Approved,4861.46,Store Credit
RET00104,ORD039786,2022-05-30,Size not fitting,Pending,37689.3,Refund
RET00105,ORD027661,2023-03-10,Size not fitting,Rejected,19377.12,Store Credit
RET00106,ORD003443,2023-08-27,Wrong item delivered,Approved,23472.41,Refund
RET00107,ORD011604,2022-12-02,Better price elsewhere,Approved,27823.22,Refund
RET00108,ORD034571,2022-08-30,Changed mind,Approved,9022.96,Refund
RET00109,ORD022086,2022-07-03,Changed mind,Rejected,19681.84,Store Credit
RET00110,ORD012318,2022-01-24,Defective product,Rejected,1469.64,Refund
RET00111,ORD024606,2023-09-23,Wrong item delivered,Pending,1304.5,Exchange
RET00112,ORD012195,2023-03-05,Better price elsewhere,Approved,115709.63,Refund
RET00113,ORD037869,2022-12-07,Late delivery,Approved,9663.24,Store Credit
RET00114,ORD042286,2022-01-17,Damaged packaging,Pending,169907.23,Exchange
RET00115,ORD017840,2023-04-05,Late delivery,Rejected,117663.0,Store Credit
RET00116,ORD025443,2022-10-29,Changed mind,Approved,2001.02,Store Credit
RET00117,ORD000154,2023-10-06,Size not fitting,Approved,14384.3,Refund
RET00118,ORD026548,2022-08-08,Better price elsewhere,Pending,2773.39,Refund
RET00119,ORD043812,2022-07-03,Defective product,Rejected,3503.67,Exchange
RET00120,ORD016446,2022-05-17,Defective product,Rejected,99331.25,Store Credit
RET00121,ORD002993,2023-02-26,Wrong item delivered,Rejected,3229.08,Refund
RET00122,ORD000422,2022-12-10,Changed mind,Approved,355.48,Store Credit
RET00123,ORD045515,2023-04-22,Size not fitting,Rejected,4456.39,Store Credit
RET00124,ORD001799,2022-11-21,Size not fitting,Approved,5028.52,Exchange
RET00125,ORD032138,2022-12-11,Damaged packaging,Approved,2674.27,Refund
RET00126,ORD034377,2022-11-19,Better price elsewhere,Approved,59068.1,Refund
RET00127,ORD023778,2023-04-08,Late delivery,Approved,117817.01,Store Credit
RET00128,ORD030683,2023-06-18,Late delivery,Approved,47168.47,Exchange
RET00129,ORD009525,2023-03-06,Defective product,Approved,20659.24,Store Credit
RET00130,ORD048966,2023-05-11,Size not fitting,Approved,8156.13,Exchange
RET00131,ORD036134,2023-11-17,Late delivery,Pending,1994.72,Refund
RET00132,ORD043914,2023-01-06,Better price elsewhere,Approved,8885.79,Store Credit
RET00133,ORD039677,2023-11-04,Defective product,Pending,21746.0,Refund
RET00134,ORD008185,2022-08-11,Wrong item delivered,Rejected,7139.0,Exchange
RET00135,ORD035038,2023-01-16,Changed mind,Approved,2757.46,Store Credit
RET00136,ORD003781,2023-08-26,Better price elsewhere,Rejected,11748.85,Exchange
RET00137,ORD025332,2023-02-26,Size not fitting,Approved,2256.44,Refund
RET00138,ORD031118,2023-10-06,Size not fitting,Pending,32871.15,Store Credit
RET00139,ORD004197,2022-04-23,Late delivery,Rejected,9399.06,Refund
RET00140,ORD036933,2023-10-17,Late delivery,Pending,50714.1,Exchange
RET00141,ORD029817,2023-12-08,Damaged packaging,Rejected,3628.48,Exchange
RET00142,ORD048528,2022-12-17,Better price elsewhere,Approved,2341.54,Exchange
RET00143,ORD014934,2022-09-24,Better price elsewhere,Pending,1616.0,Refund
RET00144,ORD032730,2023-01-29,Better price elsewhere,Pending,3812.23,Store Credit
RET00145,ORD003496,2023-04-19,Wrong item delivered,Rejected,1281.5,Refund
RET00146,ORD039787,2023-01-17,Late delivery,Approved,30724.3,Refund
RET00147,ORD044824,2023-03-17,Late delivery,Approved,3977.99,Store Credit
RET00148,ORD049730,2023-03-10,Size not fitting,Approved,2352.04,Refund
RET00149,ORD013389,2022-11-04,Late delivery,Pending,6756.39,Exchange
RET00150,ORD032201,2023-06-05,Size not fitting,Approved,16669.08,Store Credit
RET00151,ORD032725,2023-06-07,Changed mind,Pending,17772.37,Exchange
RET00152,ORD042487,2023-05-31,Damaged packaging,Approved,3990.84,Store Credit
RET00153,ORD022045,2023-03-02,Damaged packaging,Approved,45094.0,Refund
RET00154,ORD017804,2023-12-23,Damaged packaging,Pending,44315.68,Refund
RET00155,ORD005468,2023-06-25,Damaged packaging,Approved,163037.5,Store Credit
RET00156,ORD013495,2022-05-06,Changed mind,Approved,100253.99,Exchange
RET00157,ORD007974,2023-12-06,Size not fitting,Pending,26141.87,Store Credit
RET00158,ORD022665,2023-05-16,Changed mind,Approved,7503.24,Exchange
RET00159,ORD018783,2023-12-02,Late delivery,Approved,2937.58,Refund
RET00160,ORD045699,2022-08-19,Late delivery,Pending,10575.57,Exchange
RET00161,ORD047505,2023-12-24,Better price elsewhere,Approved,120344.73,Store Credit
RET00162,ORD020316,2023-10-02,Wrong item delivered,Approved,9627.68,Refund
RET00163,ORD001919,2022-03-13,Wrong item delivered,Pending,300208.42,Store Credit
RET00164,ORD036479,2023-02-10,Wrong item delivered,Pending,2683.16,Store Credit
RET00165,ORD002867,2023-12-25,Better price elsewhere,Rejected,211172.16,Exchange
RET00166,ORD013513,2022-11-20,Size not fitting,Pending,24364.8,Exchange
RET00167,ORD033745,2023-06-21,Size not fitting,Approved,2414.02,Store Credit
RET00168,ORD037180,2022-11-11,Late delivery,Rejected,75981.69,Exchange
RET00169,ORD010033,2023-07-15,Late delivery,Approved,10393.77,Store Credit
RET00170,ORD024275,2022-12-26,Wrong item delivered,Approved,10172.52,Store Credit
RET00171,ORD031982,2023-10-10,Changed mind,Pending,2864.52,Refund
RET00172,ORD025099,2022-03-09,Defective product,Approved,4935.51,Refund
RET00173,ORD042922,2022-07-08,Size not fitting,Approved,9039.3,Store Credit
RET00174,ORD049227,2022-01-18,Damaged packaging,Pending,3381.9,Exchange
RET00175,ORD049526,2022-12-19,Size not fitting,Rejected,1565.63,Exchange
RET00176,ORD001831,2023-09-28,Wrong item delivered,Pending,64122.9,Exchange
RET00177,ORD030234,2023-02-13,Late delivery,Approved,4585.18,Store Credit
RET00178,ORD025011,2022-05-04,Defective product,Pending,4340.95,Refund
RET00179,ORD027038,2023-07-20,Size not fitting,Approved,18909.96,Store Credit
RET00180,ORD013194,2022-12-28,Changed mind,Pending,38868.39,Exchange
RET00181,ORD010937,2022-08-27,Size not fitting,Rejected,673.28,Refund
RET00182,ORD004057,2023-05-28,Better price elsewhere,Approved,31226.32,Exchange
RET00183,ORD022833,2022-04-23,Better price elsewhere,Approved,7103.2,Refund
RET00184,ORD041193,2022-07-03,Late delivery,Pending,20136.89,Store Credit
RET00185,ORD033273,2022-02-10,Size not fitting,Pending,52266.0,Refund
RET00186,ORD037481,2022-01-19,Defective product,Pending,11958.44,Exchange
RET00187,ORD041611,2023-04-13,Defective product,Approved,280.85,Exchange
RET00188,ORD010511,2023-06-30,Damaged packaging,Rejected,25094.74,Exchange
RET00189,ORD011897,2022-05-08,Size not fitting,Rejected,112674.19,Store Credit
RET00190,ORD007728,2023-12-23,Better price elsewhere,Approved,15456.85,Store Credit
RET00191,ORD043320,2024-01-06,Better price elsewhere,Approved,8861.94,Exchange
RET00192,ORD022009,2023-04-17,Defective product,Rejected,87389.39,Exchange
RET00193,ORD014687,2023-01-23,Damaged packaging,Approved,1074.11,Exchange
RET00194,ORD028041,2022-05-05,Defective product,Pending,11788.26,Exchange
RET00195,ORD008514,2023-03-04,Damaged packaging,Pending,121119.05,Refund
RET00196,ORD049280,2023-05-26,Size not fitting,Pending,1320.99,Exchange
RET00197,ORD021721,2023-11-14,Better price elsewhere,Approved,2376.44,Refund
RET00198,ORD045549,2022-12-28,Size not fitting,Rejected,22615.03,Store Credit
RET00199,ORD022812,2023-09-27,Wrong item delivered,Approved,2191.88,Exchange
RET00200,ORD001711,2023-12-28,Better price elsewhere,Approved,8445.97,Refund
RET00201,ORD016672,2022-07-24,Defective product,Pending,15990.15,Refund
RET00202,ORD026642,2024-01-04,Late delivery,Pending,16024.98,Store Credit
RET00203,ORD024341,2023-10-11,Damaged packaging,Approved,36454.58,Refund
RET00204,ORD012003,2023-10-24,Better price elsewhere,Rejected,8749.52,Exchange
RET00205,ORD029252,2023-12-21,Defective product,Approved,3910.34,Exchange
RET00206,ORD031171,2023-07-13,Wrong item delivered,Approved,429.46,Exchange
RET00207,ORD038071,2023-01-30,Better price elsewhere,Approved,14269.65,Store Credit
RET00208,ORD011772,2022-02-25,Changed mind,Approved,5131.28,Exchange
RET00209,ORD006819,2022-09-30,Changed mind,Rejected,7251.06,Exchange
RET00210,ORD038719,2023-03-08,Defective product,Rejected,34810.99,Store Credit
RET00211,ORD040375,2023-07-16,Better price elsewhere,Approved,7130.51,Store Credit
RET00212,ORD032350,2023-10-29,Wrong item delivered,Approved,6877.41,Store Credit
RET00213,ORD009099,2023-08-26,Size not fitting,Approved,4210.82,Exchange
RET00214,ORD032111,2023-12-29,Damaged packaging,Pending,1713.03,Exchange
RET00215,ORD019200,2022-06-07,Wrong item delivered,Pending,299821.67,Refund
RET00216,ORD008777,2022-03-26,Size not fitting,Rejected,2908.67,Exchange
RET00217,ORD017031,2022-09-06,Late delivery,Rejected,3555.86,Exchange
RET00218,ORD016324,2023-12-22,Wrong item delivered,Pending,7423.75,Store Credit
RET00219,ORD013636,2022-02-20,Late delivery,Approved,1715.49,Exchange
RET00220,ORD036000,2023-09-03,Damaged packaging,Pending,4113.88,Exchange
RET00221,ORD020634,2023-11-23,Size not fitting,Approved,224762.73,Exchange
RET00222,ORD010801,2023-07-14,Changed mind,Approved,1369.56,Refund
RET00223,ORD023657,2023-02-12,Defective product,Approved,3252.49,Refund
RET00224,ORD027284,2022-12-28,Defective product,Pending,22555.16,Exchange
RET00225,ORD005027,2023-09-10,Late delivery,Rejected,15666.16,Store Credit
RET00226,ORD039713,2024-01-04,Damaged packaging,Approved,6627.28,Refund
RET00227,ORD043403,2022-02-06,Size not fitting,Pending,3760.38,Store Credit
RET00228,ORD005610,2023-08-10,Changed mind,Pending,13819.84,Exchange
RET00229,ORD016822,2023-09-13,Defective product,Approved,5681.56,Refund
RET00230,ORD012720,2023-04-22,Defective product,Rejected,7356.0,Refund
RET00231,ORD036962,2023-12-12,Size not fitting,Rejected,22624.35,Refund
RET00232,ORD033521,2022-10-22,Changed mind,Pending,22318.81,Exchange
RET00233,ORD032604,2022-09-08,Changed mind,Approved,10686.45,Refund
RET00234,ORD013779,2023-03-23,Late delivery,Approved,13655.38,Store Credit
RET00235,ORD006927,2023-01-20,Late delivery,Rejected,13105.29,Exchange
RET00236,ORD038534,2023-05-31,Defective product,Rejected,648.08,Exchange
RET00237,ORD031230,2023-01-03,Defective product,Approved,11053.34,Refund
RET00238,ORD023959,2022-05-04,Defective product,Approved,5512.01,Refund
RET00239,ORD034029,2023-09-07,Changed mind,Approved,1654.19,Exchange
RET00240,ORD046258,2023-10-10,Damaged packaging,Pending,1878.51,Refund
RET00241,ORD044008,2022-10-26,Damaged packaging,Pending,10042.74,Refund
RET00242,ORD049968,2022-03-15,Changed mind,Approved,13835.02,Exchange
RET00243,ORD030034,2022-06-09,Better price elsewhere,Approved,124.02,Store Credit
RET00244,ORD049198,2022-08-30,Wrong item delivered,Rejected,23235.54,Refund
RET00245,ORD014301,2022-05-01,Better price elsewhere,Approved,20862.49,Exchange
RET00246,ORD041564,2022-10-19,Better price elsewhere,Pending,1781.81,Store Credit
RET00247,ORD035777,2023-03-02,Damaged packaging,Pending,43180.24,Exchange
RET00248,ORD018955,2022-03-01,Better price elsewhere,Pending,1542.68,Store Credit
RET00249,ORD017803,2022-07-19,Changed mind,Pending,16804.82,Store Credit
RET00250,ORD027904,2022-12-21,Late delivery,Pending,8388.5,Store Credit
RET00251,ORD037933,2022-11-06,Late delivery,Approved,35071.89,Exchange
RET00252,ORD024831,2022-01-26,Damaged packaging,Rejected,103088.1,Refund
RET00253,ORD018183,2022-06-23,Late delivery,Rejected,22059.58,Refund
RET00254,ORD018802,2022-11-03,Size not fitting,Approved,24766.76,Refund
RET00255,ORD035813,2023-08-23,Late delivery,Pending,7342.16,Store Credit
RET00256,ORD026844,2022-08-22,Size not fitting,Rejected,8657.81,Refund
RET00257,ORD025821,2022-08-08,Damaged packaging,Rejected,17864.37,Refund
RET00258,ORD004662,2023-07-03,Size not fitting,Pending,9375.28,Store Credit
RET00259,ORD021566,2022-06-21,Late delivery,Approved,16606.18,Refund
RET00260,ORD029949,2022-09-24,Late delivery,Pending,7387.55,Store Credit
RET00261,ORD011292,2022-07-02,Size not fitting,Approved,2880.54,Refund
RET00262,ORD035505,2023-01-19,Defective product,Approved,6382.74,Exchange
RET00263,ORD026522,2023-10-05,Changed mind,Approved,16788.43,Store Credit
RET00264,ORD023535,2022-04-27,Better price elsewhere,Approved,5807.44,Exchange
RET00265,ORD011965,2022-01-21,Late delivery,Pending,62974.42,Store Credit
RET00266,ORD044682,2022-05-22,Damaged packaging,Approved,897.06,Refund
RET00267,ORD041754,2023-02-27,Better price elsewhere,Approved,1852.92,Store Credit
RET00268,ORD047631,2022-03-16,Damaged packaging,Approved,13636.1,Exchange
RET00269,ORD048615,2023-07-22,Defective product,Approved,266.93,Store Credit
RET00270,ORD009534,2023-02-03,Wrong item delivered,Pending,11993.78,Refund
RET00271,ORD005866,2022-02-26,Defective product,Approved,119430.02,Store Credit
RET00272,ORD019929,2023-07-03,Better price elsewhere,Rejected,18454.85,Refund
RET00273,ORD033367,2022-12-24,Better price elsewhere,Pending,210105.62,Store Credit
RET00274,ORD001165,2023-08-26,Late delivery,Approved,286.53,Store Credit
RET00275,ORD006546,2022-09-09,Size not fitting,Approved,19231.3,Exchange
RET00276,ORD016852,2022-11-04,Defective product,Approved,7348.06,Refund
RET00277,ORD021170,2023-09-25,Changed mind,Rejected,2430.11,Refund
RET00278,ORD008176,2023-04-08,Damaged packaging,Rejected,5507.2,Store Credit
RET00279,ORD010328,2023-03-12,Late delivery,Rejected,22464.8,Store Credit
RET00280,ORD048919,2023-07-16,Better price elsewhere,Rejected,40411.2,Store Credit
RET00281,ORD023007,2022-05-06,Damaged packaging,Pending,15578.51,Refund
RET00282,ORD001214,2023-03-07,Changed mind,Approved,5703.81,Refund
RET00283,ORD016232,2023-08-10,Size not fitting,Rejected,4542.66,Refund
RET00284,ORD012505,2023-04-11,Size not fitting,Approved,50824.33,Store Credit
RET00285,ORD005584,2022-11-17,Late delivery,Rejected,8527.6,Exchange
RET00286,ORD029366,2022-04-26,Better price elsewhere,Approved,13431.42,Exchange
RET00287,ORD026663,2022-05-13,Better price elsewhere,Approved,6731.79,Exchange
RET00288,ORD026903,2022-01-05,Late delivery,Approved,4582.59,Store Credit
RET00289,ORD036857,2022-01-31,Size not fitting,Rejected,9205.05,Exchange
RET00290,ORD003620,2024-01-01,Better price elsewhere,Pending,7800.36,Refund
RET00291,ORD019624,2023-10-28,Better price elsewhere,Rejected,1584.03,Store Credit
RET00292,ORD038187,2023-08-03,Better price elsewhere,Approved,3527.15,Exchange
RET00293,ORD020946,2023-10-12,Wrong item delivered,Approved,6483.63,Refund
RET00294,ORD010708,2023-01-30,Damaged packaging,Approved,35797.06,Refund
RET00295,ORD002439,2023-08-30,Late delivery,Approved,6535.99,Exchange
RET00296,ORD045695,2022-02-27,Defective product,Rejected,16260.42,Exchange
RET00297,ORD040537,2022-11-07,Defective product,Pending,1971.71,Refund
RET00298,ORD046999,2022-11-27,Damaged packaging,Approved,9238.58,Exchange
RET00299,ORD028832,2023-02-26,Late delivery,Approved,280.11,Store Credit
RET00300,ORD017241,2022-11-28,Changed mind,Rejected,3220.46,Store Credit
RET00301,ORD043788,2023-07-18,Damaged packaging,Approved,13560.7,Refund
RET00302,ORD016982,2023-02-07,Late delivery,Approved,8058.15,Refund
RET00303,ORD008702,2022-03-03,Size not fitting,Approved,5635.93,Exchange
RET00304,ORD017593,2023-08-06,Size not fitting,Pending,75536.91,Exchange
RET00305,ORD013713,2022-07-04,Better price elsewhere,Approved,9583.72,Exchange
RET00306,ORD035303,2023-03-16,Better price elsewhere,Approved,20815.33,Store Credit
RET00307,ORD003378,2022-10-24,Late delivery,Rejected,24447.56,Refund
RET00308,ORD045310,2023-06-07,Changed mind,Approved,451.84,Exchange
RET00309,ORD013973,2022-05-19,Damaged packaging,Approved,152478.44,Exchange
RET00310,ORD040517,2022-02-15,Defective product,Rejected,49362.86,Refund
RET00311,ORD038742,2023-08-27,Wrong item delivered,Approved,17879.09,Store Credit
RET00312,ORD022684,2023-09-01,Wrong item delivered,Approved,158375.7,Store Credit
RET00313,ORD040139,2023-11-28,Defective product,Rejected,19545.23,Exchange
RET00314,ORD047584,2022-07-23,Defective product,Approved,7718.2,Exchange
RET00315,ORD001607,2022-04-04,Wrong item delivered,Pending,58532.87,Refund
RET00316,ORD002938,2023-04-03,Late delivery,Approved,626.85,Store Credit
RET00317,ORD006456,2022-08-17,Better price elsewhere,Pending,876.64,Store Credit
RET00318,ORD026397,2023-09-14,Late delivery,Rejected,12346.43,Refund
RET00319,ORD025241,2023-04-17,Better price elsewhere,Approved,1329.02,Refund
RET00320,ORD023286,2023-12-08,Better price elsewhere,Pending,2775.54,Store Credit
RET00321,ORD035572,2023-12-09,Damaged packaging,Approved,96865.16,Exchange
RET00322,ORD017982,2022-12-19,Better price elsewhere,Rejected,29437.84,Refund
RET00323,ORD020871,2022-04-19,Wrong item delivered,Approved,20342.9,Store Credit
RET00324,ORD034810,2022-12-12,Late delivery,Approved,2423.86,Refund
RET00325,ORD024510,2023-01-09,Size not fitting,Pending,2492.51,Refund
RET00326,ORD032659,2022-07-02,Damaged packaging,Approved,25030.61,Exchange
RET00327,ORD003823,2023-02-19,Size not fitting,Approved,50258.36,Exchange
RET00328,ORD017598,2023-07-13,Defective product,Approved,36203.74,Exchange
RET00329,ORD044358,2023-07-28,Changed mind,Approved,14160.51,Store Credit
RET00330,ORD037713,2023-05-06,Defective product,Approved,43655.91,Exchange
RET00331,ORD020559,2022-07-03,Late delivery,Approved,1820.56,Store Credit
RET00332,ORD006428,2023-03-04,Damaged packaging,Approved,132.6,Refund
RET00333,ORD019476,2023-11-12,Better price elsewhere,Approved,25233.76,Refund
RET00334,ORD022222,2023-12-11,Defective product,Approved,7336.08,Exchange
RET00335,ORD007258,2024-01-02,Damaged packaging,Rejected,7135.33,Refund
RET00336,ORD015207,2022-01-11,Better price elsewhere,Approved,83223.39,Exchange
RET00337,ORD018209,2023-12-08,Late delivery,Rejected,16183.5,Store Credit
RET00338,ORD028174,2022-10-26,Better price elsewhere,Pending,18384.36,Store Credit
RET00339,ORD038898,2023-10-03,Changed mind,Approved,14028.63,Exchange
RET00340,ORD039826,2022-04-27,Defective product,Rejected,7143.26,Store Credit
RET00341,ORD035654,2023-02-08,Late delivery,Approved,3208.96,Exchange
RET00342,ORD001965,2022-08-11,Defective product,Rejected,3723.86,Store Credit
RET00343,ORD047957,2023-05-24,Better price elsewhere,Approved,1872.9,Refund
RET00344,ORD042223,2022-10-28,Better price elsewhere,Pending,3693.51,Store Credit
RET00345,ORD020411,2023-10-21,Late delivery,Rejected,18013.27,Exchange
RET00346,ORD042825,2023-01-05,Late delivery,Approved,20393.68,Refund
RET00347,ORD014976,2022-08-25,Late delivery,Approved,451.92,Exchange
RET00348,ORD023119,2023-05-29,Late delivery,Approved,39988.42,Refund
RET00349,ORD023437,2022-09-20,Damaged packaging,Approved,5997.1,Refund
RET00350,ORD031430,2022-03-02,Wrong item delivered,Approved,3105.83,Exchange
RET00351,ORD014918,2023-10-19,Better price elsewhere,Rejected,36779.74,Store Credit
RET00352,ORD045095,2022-02-05,Defective product,Rejected,169302.08,Exchange
RET00353,ORD017108,2023-08-21,Changed mind,Approved,3453.48,Exchange
RET00354,ORD026419,2023-04-19,Wrong item delivered,Rejected,540.09,Exchange
