order_id,customer_id,store_id,channel,order_date,order_total,status,delivery_date
ORD000024,CUST01044,STR044,In-Store,2022-12-16,4950.0,Shipped,
ORD000025,CUST01240,STR001,Mobile App,2023-07-08,26989.0,Delivered,2023-08-28
ORD000026,CUST00525,STR046,Online,2023-11-03,54453.5,Processing,
ORD000027,CUST01713,STR041,Online,2023-01-30,10050.0,Delivered,2023-04-29
ORD000028,CUST04155,STR005,In-Store,2022-06-12,157678.0,Delivered,2022-12-06
ORD000029,CUST04926,STR018,Mobile App,2022-02-01,4185.0,Shipped,
ORD000030,CUST01622,STR043,In-Store,2023-11-07,5430.0,Delivered,2023-11-28
ORD000031,CUST03397,STR029,In-Store,2023-08-20,8000.0,Delivered,2023-12-01
ORD000032,CUST04107,STR030,In-Store,2023-04-13,19400.0,Delivered,2023-09-05
ORD000033,CUST02393,STR035,In-Store,2023-05-28,25340.0,Delivered,2023-08-06
ORD000034,CUST04810,STR030,In-Store,2023-02-28,798.0,Delivered,2023-08-27
ORD000035,CUST03609,STR027,In-Store,2022-05-21,273465.0,Delivered,2023-03-20
ORD000036,CUST01555,STR043,Mobile App,2022-09-20,7752.0,Delivered,2022-10-29
ORD000037,CUST01948,STR035,In-Store,2023-03-24,1683.0,Delivered,2023-05-09
ORD000038,CUST03011,STR039,Online,2023-02-14,14942.0,Delivered,2023-12-13
ORD000039,CUST01543,STR025,In-Store,2022-04-30,21200.0,Delivered,2023-05-27
ORD000040,CUST00869,STR036,In-Store,2023-11-19,12578.0,Delivered,2023-12-17
ORD000041,CUST01113,STR001,In-Store,2022-01-30,9760.0,Processing,
ORD000042,CUST03906,STR028,Mobile App,2023-03-30,8120.0,Delivered,2023-08-05
ORD000043,CUST04123,STR015,Mobile App,2023-01-20,845.5,Delivered,2023-01-21
ORD000044,CUST02847,STR026,In-Store,2022-11-30,10849.0,Delivered,2023-08-07
ORD000045,CUST03919,STR003,Online,2023-02-05,3220.0,Shipped,
ORD000046,CUST04891,STR001,In-Store,2022-12-16,5225.0,Delivered,2023-04-18
ORD000047,CUST00411,STR049,Online,2023-05-30,9700.0,Delivered,2023-06-23
ORD000048,CUST01120,STR038,In-Store,2023-03-09,720.0,Shipped,
ORD000049,CUST04165,STR004,In-Store,2023-08-01,57789.0,Delivered,2023-11-07
ORD000050,CUST01001,STR021,In-Store,2023-04-24,9520.0,Delivered,2023-10-12
ORD000051,CUST00456,STR003,In-Store,2023-06-16,2688.0,Delivered,2023-12-14
ORD000052,CUST01899,STR041,Online,2023-05-24,14715.0,Delivered,2023-10-18
ORD000053,CUST04352,STR021,Mobile App,2023-01-23,197930.0,Delivered,2023-12-27
ORD000054,CUST04437,STR041,Online,2023-12-28,23642.0,Delivered,2023-12-30
ORD000055,CUST04925,STR020,Mobile App,2022-01-15,1500.0,Delivered,2022-07-19
ORD000056,CUST02569,STR037,In-Store,2023-10-02,117694.0,Delivered,2023-12-31
ORD000057,CUST03668,STR044,In-Store,2023-04-25,6868.0,Delivered,2023-11-26
ORD000058,CUST04290,STR037,Mobile App,2022-03-14,28665.0,Shipped,
ORD000059,CUST03778,STR019,Online,2023-12-18,116950.0,Delivered,2023-12-21
ORD000060,CUST01320,STR045,In-Store,2023-11-12,15480.0,Delivered,2023-11-27
ORD000061,CUST04177,STR011,Mobile App,2023-04-29,49265.0,Delivered,2023-07-25
ORD000062,CUST03586,STR029,In-Store,2023-04-09,57589.0,Delivered,2023-05-09
ORD000063,CUST01279,STR034,Mobile App,2023-03-31,102315.0,Delivered,2023-07-04
ORD000064,CUST01952,STR044,In-Store,2022-08-03,32775.0,Delivered,2023-01-23
ORD000065,CUST02182,STR049,In-Store,2023-11-10,2120.0,Processing,
ORD000066,CUST03317,STR019,In-Store,2023-03-01,180.0,Delivered,2023-08-06
ORD000067,CUST02592,STR015,In-Store,2022-07-01,16595.0,Delivered,2023-05-27
ORD000068,CUST01143,STR047,In-Store,2023-09-11,79200.0,Delivered,2023-09-24
ORD000069,CUST00844,STR008,Online,2023-03-20,7607.5,Delivered,2023-04-27
ORD000070,CUST02620,STR030,In-Store,2023-03-07,180.0,Delivered,2023-12-04
ORD000071,CUST00076,STR039,In-Store,2023-06-01,48674.0,Delivered,2023-08-28
ORD000072,CUST03087,STR013,In-Store,2022-07-31,23754.0,Delivered,2023-06-24
ORD000073,CUST03704,STR004,Online,2022-11-21,40106.0,Shipped,
ORD000074,CUST02207,STR044,In-Store,2022-05-29,2970.0,Delivered,2023-07-02
ORD000075,CUST01317,STR046,Mobile App,2023-06-08,5696.0,Processing,
ORD000076,CUST02056,STR031,In-Store,2022-07-04,111787.5,Cancelled,
ORD000077,CUST01551,STR008,In-Store,2022-06-08,4044.0,Delivered,2023-01-22
ORD000078,CUST01143,STR033,In-Store,2022-01-01,37108.0,Shipped,
ORD000079,CUST02954,STR018,Online,2022-10-12,16509.5,Delivered,2023-11-08
ORD000080,CUST00030,STR004,Mobile App,2022-12-22,3230.0,Delivered,2023-07-30
ORD000081,CUST03890,STR013,Online,2022-11-07,4122.5,Shipped,
ORD000082,CUST04479,STR025,Online,2022-04-13,46538.0,Delivered,2023-06-14
ORD000083,CUST01415,STR035,In-Store,2023-07-04,4040.0,Delivered,2023-10-10
ORD000084,CUST00415,STR044,In-Store,2023-07-06,9889.5,Delivered,2023-08-20
ORD000085,CUST04266,STR039,In-Store,2023-10-18,10040.0,Delivered,2023-10-27
ORD000086,CUST03250,STR013,Online,2023-07-22,4104.0,Delivered,2023-08-29
ORD000087,CUST04212,STR050,Online,2022-08-01,2080.5,Delivered,2023-05-18
ORD000088,CUST04093,STR019,In-Store,2023-10-09,11837.0,Delivered,2023-10-21
ORD000089,CUST00501,STR046,Mobile App,2022-04-11,640.0,Delivered,2022-09-05
ORD000090,CUST04294,STR018,Online,2022-11-22,288945.0,Delivered,2023-07-12
ORD000091,CUST03100,STR010,Online,2023-08-12,36036.5,Delivered,2023-08-27
ORD000092,CUST01497,STR025,Mobile App,2022-10-31,93560.0,Delivered,2023-10-03
ORD000093,CUST02749,STR013,In-Store,2023-10-12,267329.0,Delivered,2023-11-21
ORD000094,CUST03856,STR015,In-Store,2022-06-01,83920.0,Processing,
ORD000095,CUST02244,STR010,Mobile App,2023-06-22,943.5,Delivered,2023-06-25
ORD000096,CUST03776,STR005,In-Store,2023-10-20,4592.0,Processing,
ORD000097,CUST00210,STR023,In-Store,2022-02-01,66661.5,Shipped,
ORD000098,CUST01917,STR015,In-Store,2022-05-05,4005.0,Delivered,2023-05-05
ORD000099,CUST02093,STR048,In-Store,2022-06-24,136399.0,Delivered,2022-09-05
ORD000100,CUST02921,STR042,Online,2023-06-06,133792.0,Delivered,2023-10-06
ORD000101,CUST01868,STR046,Online,2023-09-07,17469.0,Delivered,2023-12-16
ORD000102,CUST01964,STR036,Online,2022-10-16,16304.5,Delivered,2023-01-03
ORD000103,CUST04606,STR049,Online,2023-06-22,56525.0,Delivered,2023-08-26
ORD000104,CUST00787,STR019,In-Store,2023-11-03,1928.5,Delivered,2023-12-24
ORD000105,CUST00167,STR022,Mobile App,2022-10-06,42600.0,Processing,
ORD000106,CUST01027,STR014,In-Store,2022-06-24,17100.0,Delivered,2022-10-11
ORD000107,CUST00588,STR031,Online,2022-09-15,14070.0,Shipped,
ORD000108,CUST04325,STR044,Mobile App,2023-12-06,23395.5,Delivered,2023-12-20
ORD000109,CUST01107,STR015,Online,2022-03-01,27715.0,Delivered,2023-08-12
ORD000110,CUST04868,STR014,In-Store,2022-06-07,42205.0,Delivered,2023-06-15
ORD000111,CUST00959,STR026,Online,2023-02-10,14250.0,Delivered,2023-07-08
ORD000112,CUST04579,STR004,Online,2022-04-12,3144.5,Delivered,2022-09-12
ORD000113,CUST02144,STR042,In-Store,2022-09-12,15060.0,Delivered,2023-11-10
ORD000114,CUST04221,STR015,In-Store,2022-08-14,43814.5,Delivered,2023-05-27
ORD000115,CUST03834,STR016,Online,2022-01-31,19000.0,Delivered,2022-12-08
ORD000116,CUST03730,STR022,Online,2023-05-17,148265.0,Delivered,2023-09-11
ORD000117,CUST04375,STR005,In-Store,2023-01-09,16273.5,Shipped,
ORD000118,CUST03693,STR015,In-Store,2022-04-07,14070.0,Delivered,2023-08-01
ORD000119,CUST01685,STR026,In-Store,2023-08-18,5710.0,Delivered,2023-09-15
ORD000120,CUST04071,STR021,In-Store,2023-10-17,3876.0,Delivered,2023-12-20
ORD000121,CUST04148,STR030,In-Store,2022-03-11,8455.0,Delivered,2023-04-11
ORD000122,CUST02624,STR033,In-Store,2022-08-26,13970.0,Delivered,2023-05-28
ORD000123,CUST02719,STR029,Mobile App,2023-03-06,95989.5,Delivered,2023-05-30
ORD000124,CUST04019,STR049,In-Store,2023-10-19,14060.0,Shipped,
ORD000125,CUST03313,STR002,In-Store,2022-10-27,20820.0,Delivered,2023-10-27
ORD000126,CUST01859,STR004,In-Store,2022-10-12,66001.5,Delivered,2023-12-13
ORD000127,CUST02093,STR017,In-Store,2022-04-08,57789.0,Delivered,2023-01-11
ORD000128,CUST00297,STR029,Online,2022-02-16,24479.0,Delivered,2023-04-12
ORD000129,CUST04294,STR048,Online,2023-07-30,18874.0,Delivered,2023-11-02
ORD000130,CUST00942,STR042,Mobile App,2023-05-07,14629.0,Delivered,2023-11-02
ORD000131,CUST01994,STR043,In-Store,2022-03-10,8120.0,Processing,
ORD000132,CUST03524,STR045,In-Store,2023-04-16,5520.0,Delivered,2023-06-09
ORD000133,CUST03896,STR019,Mobile App,2023-12-19,3560.0,Delivered,2023-12-31
ORD000134,CUST00483,STR003,Online,2022-07-25,3192.0,Processing,
ORD000135,CUST01210,STR031,In-Store,2022-01-01,39270.0,Delivered,2023-12-15
ORD000136,CUST03757,STR011,In-Store,2023-09-15,82210.5,Processing,
ORD000137,CUST03336,STR030,Online,2022-06-21,15900.0,Shipped,
ORD000138,CUST00589,STR026,In-Store,2022-08-26,6160.0,Delivered,2023-04-30
ORD000139,CUST01034,STR022,In-Store,2022-10-17,8500.0,Delivered,2023-09-16
ORD000140,CUST00368,STR044,Online,2023-09-28,67203.0,Delivered,2023-10-21
ORD000141,CUST03219,STR005,Online,2022-01-31,113236.0,Delivered,2023-04-21
ORD000142,CUST03326,STR021,Online,2022-01-05,10887.0,Delivered,2023-03-02
ORD000143,CUST04631,STR018,Online,2022-08-18,42075.0,Delivered,2023-02-04
ORD000144,CUST03712,STR015,Online,2022-08-17,43117.0,Delivered,2022-10-24
ORD000145,CUST03349,STR008,Online,2022-01-31,370074.0,Delivered,2022-06-09
ORD000146,CUST01565,STR022,Mobile App,2023-08-24,11260.5,Delivered,2023-10-01
ORD000147,CUST03270,STR016,Online,2022-01-26,48646.0,Delivered,2023-09-19
ORD000148,CUST03660,STR045,Mobile App,2022-03-19,25100.0,Shipped,
ORD000149,CUST02741,STR014,Online,2022-06-26,6222.0,Delivered,2023-06-03
ORD000150,CUST04342,STR042,Online,2022-03-09,2700.0,Delivered,2022-12-09
ORD000151,CUST03416,STR049,Online,2022-10-11,19080.0,Delivered,2023-02-15
ORD000152,CUST01239,STR010,Online,2023-11-23,79440.0,Delivered,2023-12-21
ORD000153,CUST00593,STR040,In-Store,2022-10-07,13973.5,Delivered,2023-04-30
ORD000154,CUST04222,STR008,In-Store,2023-09-08,26710.0,Delivered,2023-09-09
ORD000155,CUST02701,STR042,Mobile App,2023-06-05,23800.0,Delivered,2023-12-04
ORD000156,CUST00207,STR022,Mobile App,2023-07-21,2010.0,Shipped,
ORD000157,CUST01814,STR022,Mobile App,2023-06-15,22232.0,Delivered,2023-12-31
ORD000158,CUST01933,STR005,Online,2023-12-20,19040.0,Delivered,2023-12-21
ORD000159,CUST01317,STR019,Mobile App,2023-04-04,41853.0,Shipped,
ORD000160,CUST01301,STR004,In-Store,2022-10-01,26002.0,Delivered,2023-12-16
ORD000161,CUST04741,STR010,Online,2022-08-18,6658.0,Delivered,2023-03-06
ORD000162,CUST02904,STR032,Mobile App,2023-06-09,15480.0,Delivered,2023-06-23
ORD000163,CUST02484,STR016,Mobile App,2023-08-07,2030.0,Delivered,2023-11-05
ORD000164,CUST00324,STR034,Online,2023-12-25,36057.0,Processing,
ORD000165,CUST00771,STR012,In-Store,2022-08-11,5077.0,Delivered,2023-04-26
ORD000166,CUST00110,STR045,Online,2023-06-01,4769.0,Delivered,2023-09-03
ORD000167,CUST02223,STR041,In-Store,2022-10-13,12830.0,Shipped,
ORD000168,CUST01024,STR038,Online,2023-03-20,6080.0,Delivered,2023-10-18
ORD000169,CUST01164,STR030,In-Store,2022-06-17,2737.0,Delivered,2023-10-11
ORD000170,CUST02790,STR015,Mobile App,2022-05-06,12124.0,Delivered,2022-06-08
ORD000171,CUST01319,STR009,Mobile App,2022-01-19,13148.0,Delivered,2023-08-19
ORD000172,CUST02427,STR024,Mobile App,2022-01-19,12200.0,Delivered,2023-04-29
ORD000173,CUST01829,STR050,Online,2022-08-07,17335.5,Delivered,2022-09-27
ORD000174,CUST03478,STR028,In-Store,2022-09-21,75087.0,Delivered,2022-10-22
ORD000175,CUST02419,STR001,In-Store,2023-06-06,34960.0,Delivered,2023-09-28
ORD000176,CUST03841,STR046,In-Store,2023-09-28,14678.0,Delivered,2023-12-15
ORD000177,CUST01063,STR009,Online,2023-01-04,1843.0,Shipped,
ORD000178,CUST02067,STR024,In-Store,2022-12-14,10892.0,Delivered,2023-10-08
ORD000179,CUST03246,STR046,In-Store,2023-05-16,36533.0,Delivered,2023-11-08
ORD000180,CUST04816,STR050,In-Store,2023-01-13,208472.0,Delivered,2023-04-13
ORD000181,CUST04311,STR022,Online,2023-10-23,5340.0,Delivered,2023-11-02
ORD000182,CUST03439,STR046,In-Store,2023-10-23,16633.0,Delivered,2023-12-03
ORD000183,CUST02381,STR050,In-Store,2023-08-23,134884.0,Delivered,2023-12-09
ORD000184,CUST01128,STR026,In-Store,2023-06-02,17185.0,Processing,
ORD000185,CUST03808,STR037,Online,2023-05-06,9100.0,Delivered,2023-05-13
ORD000186,CUST00799,STR048,Online,2023-06-01,2510.0,Shipped,
ORD000187,CUST02649,STR038,Online,2022-09-17,6893.0,Shipped,
ORD000188,CUST00065,STR001,In-Store,2023-10-09,5814.0,Processing,
ORD000189,CUST02401,STR047,In-Store,2023-02-08,305827.0,Delivered,2023-08-03
ORD000190,CUST00942,STR030,Online,2023-04-21,5134.0,Delivered,2023-06-25
ORD000191,CUST01685,STR049,Mobile App,2022-12-02,720.0,Delivered,2023-08-13
ORD000192,CUST03640,STR014,Online,2022-05-14,16542.5,Delivered,2023-08-05
ORD000193,CUST04910,STR006,Online,2023-04-27,2890.0,Processing,
ORD000194,CUST00245,STR027,Online,2023-11-08,8154.0,Cancelled,
ORD000195,CUST04076,STR043,Online,2022-06-05,21821.5,Delivered,2022-07-26
ORD000196,CUST01787,STR010,Online,2022-07-21,40030.0,Delivered,2023-12-14
ORD000197,CUST01441,STR034,In-Store,2023-10-31,46102.0,Delivered,2023-11-05
ORD000198,CUST02133,STR040,In-Store,2023-09-15,3560.0,Delivered,2023-11-27
ORD000199,CUST03235,STR012,Mobile App,2023-03-28,7410.0,Delivered,2023-04-29
ORD000200,CUST04958,STR022,Online,2023-02-15,8120.0,Delivered,2023-04-30
ORD000201,CUST00968,STR004,Online,2022-03-21,22440.0,Delivered,2022-05-16
ORD000202,CUST02462,STR033,Online,2022-07-29,9707.0,Delivered,2023-11-28
ORD000203,CUST02019,STR039,In-Store,2022-06-13,19200.0,Delivered,2023-09-27
ORD000204,CUST03841,STR045,Online,2023-01-05,13391.0,Delivered,2023-07-20
ORD000205,CUST04989,STR049,In-Store,2022-04-09,13334.0,Delivered,2022-11-17
ORD000206,CUST00860,STR014,Mobile App,2023-02-05,3477.0,Delivered,2023-04-26
ORD000207,CUST00528,STR016,In-Store,2023-07-13,760.0,Shipped,
ORD000208,CUST01110,STR048,In-Store,2022-03-11,6060.0,Delivered,2023-11-05
ORD000209,CUST02894,STR027,In-Store,2023-04-30,20635.0,Delivered,2023-12-15
ORD000210,CUST03582,STR013,Online,2023-11-14,3366.0,Delivered,2023-11-28
ORD000211,CUST01930,STR023,Mobile App,2023-07-11,10300.0,Shipped,
ORD000212,CUST04904,STR042,In-Store,2023-05-12,1683.0,Processing,
ORD000213,CUST04087,STR018,In-Store,2023-11-24,2176.0,Delivered,2023-12-09
ORD000214,CUST00842,STR049,Online,2022-05-06,253945.0,Cancelled,
ORD000215,CUST02773,STR035,Online,2022-01-13,256840.0,Delivered,2023-08-05
ORD000216,CUST03445,STR032,In-Store,2022-09-24,9367.0,Delivered,2023-11-13
ORD000217,CUST04490,STR028,Online,2023-01-29,7320.0,Delivered,2023-05-21
ORD000218,CUST01917,STR020,In-Store,2023-03-30,3864.0,Delivered,2023-11-05
ORD000219,CUST01395,STR033,Online,2022-03-18,20700.0,Delivered,2023-08-10
ORD000220,CUST02007,STR019,Mobile App,2022-02-21,6570.0,Delivered,2023-12-01
ORD000221,CUST00032,STR017,In-Store,2023-03-03,18192.5,Delivered,2023-04-10
ORD000222,CUST02210,STR023,Mobile App,2023-05-14,37104.0,Delivered,2023-08-15
ORD000223,CUST01680,STR040,In-Store,2023-06-26,16656.0,Delivered,2023-09-26
ORD000224,CUST03709,STR008,Online,2023-10-09,6432.0,Delivered,2023-12-24
ORD000225,CUST03198,STR005,Mobile App,2022-09-06,2120.0,Shipped,
ORD000226,CUST03906,STR031,Online,2023-03-26,8950.0,Delivered,2023-11-14
ORD000227,CUST03641,STR024,Online,2022-03-16,82137.5,Delivered,2022-10-28
ORD000228,CUST01040,STR047,Online,2023-09-01,196811.5,Delivered,2023-10-19
ORD000229,CUST02639,STR036,Online,2022-02-03,4560.0,Delivered,2022-06-11
ORD000230,CUST03845,STR007,Mobile App,2022-07-12,4518.0,Delivered,2023-09-01
ORD000231,CUST02755,STR016,Online,2022-07-19,5472.0,Shipped,
ORD000232,CUST04795,STR043,In-Store,2023-08-08,392117.5,Delivered,2023-12-11
ORD000233,CUST02665,STR041,In-Store,2023-10-30,4050.0,Shipped,
ORD000234,CUST03810,STR028,Online,2023-08-26,22185.0,Processing,
ORD000235,CUST03583,STR025,In-Store,2023-08-06,33330.0,Delivered,2023-08-20
ORD000236,CUST02395,STR018,Mobile App,2023-11-09,11496.0,Delivered,2023-11-10
ORD000237,CUST03617,STR040,Online,2022-07-06,1596.0,Delivered,2022-12-15
ORD000238,CUST02832,STR019,Online,2022-01-17,39444.0,Delivered,2022-05-20
ORD000239,CUST00555,STR030,In-Store,2022-07-28,25305.0,Delivered,2023-11-11
ORD000240,CUST00281,STR033,In-Store,2022-11-08,576.0,Delivered,2023-12-25
ORD000241,CUST00019,STR024,Online,2023-02-06,42980.0,Delivered,2023-02-23
ORD000242,CUST03715,STR048,In-Store,2022-01-25,8520.5,Delivered,2022-12-16
ORD000243,CUST03180,STR036,Online,2023-04-06,22448.0,Delivered,2023-06-02
ORD000244,CUST02366,STR047,In-Store,2022-11-14,4560.0,Delivered,2023-06-20
ORD000245,CUST01575,STR037,Online,2023-06-26,450.0,Delivered,2023-11-01
ORD000246,CUST01673,STR028,In-Store,2023-06-13,6593.0,Processing,
ORD000247,CUST03487,STR022,In-Store,2022-02-17,570.0,Processing,
ORD000248,CUST03678,STR016,In-Store,2022-12-01,195166.0,Delivered,2023-05-18
ORD000249,CUST04368,STR042,In-Store,2023-05-30,13260.0,Delivered,2023-10-12
ORD000250,CUST03667,STR010,Online,2023-05-12,198672.0,Delivered,2023-07-24
ORD000251,CUST00702,STR024,Online,2023-04-24,12967.0,Delivered,2023-10-03
ORD000252,CUST03005,STR041,Online,2023-03-24,40005.0,Delivered,2023-04-14
ORD000253,CUST02555,STR022,In-Store,2022-02-04,148532.0,Processing,
ORD000254,CUST04676,STR040,In-Store,2023-10-29,9590.0,Delivered,2023-11-03
ORD000255,CUST01846,STR042,Online,2023-07-30,120080.0,Delivered,2023-10-21
ORD000256,CUST04178,STR048,Online,2022-02-09,714.0,Delivered,2022-12-09
ORD000257,CUST01508,STR017,Online,2023-10-14,29134.0,Shipped,
ORD000258,CUST00333,STR047,Online,2023-01-01,42807.5,Delivered,2023-01-06
ORD000259,CUST04714,STR025,Online,2023-03-25,2916.0,Delivered,2023-12-06
ORD000260,CUST00948,STR026,Mobile App,2023-07-01,1700.0,Processing,
ORD000261,CUST04470,STR019,Online,2022-04-22,8240.0,Delivered,2023-06-14
ORD000262,CUST03155,STR010,Online,2022-08-26,14726.0,Delivered,2023-11-12
ORD000263,CUST01326,STR049,Mobile App,2023-08-22,1480.0,Delivered,2023-12-25
ORD000264,CUST02295,STR024,Online,2022-03-03,15220.0,Delivered,2022-06-02
ORD000265,CUST02760,STR050,In-Store,2023-03-11,160.0,Delivered,2023-07-18
ORD000266,CUST03669,STR006,Mobile App,2022-12-07,1870.0,Delivered,2023-07-15
ORD000267,CUST02141,STR019,Mobile App,2023-11-30,21650.0,Delivered,2023-12-23
ORD000268,CUST02105,STR006,In-Store,2023-08-11,6802.0,Delivered,2023-10-15
ORD000269,CUST04874,STR033,In-Store,2023-03-15,18843.0,Delivered,2023-08-28
ORD000270,CUST01350,STR020,Mobile App,2023-05-02,16000.0,Delivered,2023-10-22
ORD000271,CUST00992,STR020,In-Store,2022-10-04,1350.0,Delivered,2023-01-09
ORD000272,CUST02314,STR010,Online,2022-12-16,22510.0,Delivered,2023-04-25
ORD000273,CUST01007,STR045,Online,2022-03-16,17433.0,Shipped,
ORD000274,CUST03943,STR022,Online,2023-02-16,217920.0,Processing,
ORD000275,CUST00109,STR029,Online,2022-03-15,1386.0,Delivered,2022-09-19
ORD000276,CUST01736,STR032,In-Store,2022-04-18,360.0,Delivered,2022-12-27
ORD000277,CUST01998,STR010,Mobile App,2022-05-09,69261.0,Delivered,2023-11-10
ORD000278,CUST03657,STR041,In-Store,2022-10-29,1500.0,Delivered,2023-09-06
ORD000279,CUST01589,STR005,Online,2023-05-16,223438.0,Delivered,2023-10-28
ORD000280,CUST04108,STR014,In-Store,2022-02-02,2890.0,Delivered,2023-06-12
ORD000281,CUST03688,STR039,Online,2022-09-07,102754.5,Delivered,2023-06-10
ORD000282,CUST00093,STR011,Online,2022-05-19,43845.0,Delivered,2023-05-16
ORD000283,CUST02262,STR050,Mobile App,2022-09-04,68939.5,Delivered,2023-06-27
ORD000284,CUST00692,STR002,In-Store,2023-03-13,5436.0,Delivered,2023-09-09
ORD000285,CUST00489,STR019,Online,2022-05-25,135501.0,Delivered,2023-08-04
ORD000286,CUST00814,STR050,Online,2022-02-14,262250.0,Cancelled,
ORD000287,CUST00634,STR021,Mobile App,2023-09-21,2030.0,Shipped,
ORD000288,CUST04289,STR005,Online,2023-09-19,21698.0,Delivered,2023-11-11
ORD000289,CUST03066,STR004,Mobile App,2022-08-08,3360.0,Delivered,2023-07-18
ORD000290,CUST01344,STR008,Online,2023-03-30,4455.5,Cancelled,
ORD000291,CUST03715,STR006,Mobile App,2022-07-22,272892.5,Delivered,2022-12-27
ORD000292,CUST00215,STR004,Online,2023-11-12,143600.0,Delivered,2023-11-23
ORD000293,CUST02331,STR032,Online,2022-12-01,14067.5,Shipped,
ORD000294,CUST01408,STR005,Online,2023-04-18,1060.0,Delivered,2023-08-02
ORD000295,CUST01417,STR009,In-Store,2023-11-18,47754.5,Delivered,2023-12-29
ORD000296,CUST00699,STR033,In-Store,2022-11-15,5200.0,Delivered,2023-10-03
ORD000297,CUST04703,STR012,In-Store,2022-10-04,382.5,Delivered,2023-02-04
ORD000298,CUST03917,STR023,Online,2023-10-16,26614.0,Delivered,2023-10-17
ORD000299,CUST04095,STR048,In-Store,2022-02-02,4455.5,Delivered,2022-06-30
ORD000300,CUST00779,STR041,Mobile App,2022-08-21,62640.0,Delivered,2023-03-16
ORD000301,CUST00254,STR006,Mobile App,2023-11-25,37130.0,Delivered,2023-12-19
ORD000302,CUST02264,STR009,In-Store,2023-02-13,63360.0,Shipped,
ORD000303,CUST00430,STR036,Mobile App,2022-07-14,55360.0,Delivered,2023-05-12
ORD000304,CUST02593,STR030,Mobile App,2022-09-14,13375.0,Delivered,2023-11-12
ORD000305,CUST02726,STR027,In-Store,2022-08-27,180.0,Delivered,2023-03-03
ORD000306,CUST00713,STR031,In-Store,2022-09-02,3220.0,Delivered,2022-12-06
ORD000307,CUST04320,STR049,Online,2022-04-11,1480.0,Delivered,2023-02-06
ORD000308,CUST04761,STR011,Mobile App,2023-01-11,3096.0,Shipped,
ORD000309,CUST04752,STR003,Online,2022-03-29,204136.0,Delivered,2023-12-28
ORD000310,CUST04041,STR045,In-Store,2022-12-23,46801.0,Delivered,2023-02-11
ORD000311,CUST03911,STR007,Online,2022-04-27,6030.0,Delivered,2023-02-20
ORD000312,CUST04103,STR020,Mobile App,2022-11-09,26543.0,Cancelled,
ORD000313,CUST03850,STR046,Online,2023-08-11,342.0,Shipped,
ORD000314,CUST02542,STR021,In-Store,2023-07-10,129950.0,Delivered,2023-08-02
ORD000315,CUST04039,STR026,Mobile App,2022-04-02,1550.0,Delivered,2022-08-08
ORD000316,CUST03703,STR014,In-Store,2022-04-03,22298.5,Delivered,2023-07-28
ORD000317,CUST04810,STR025,Online,2023-03-09,450.0,Delivered,2023-08-18
ORD000318,CUST02382,STR009,In-Store,2022-02-28,21921.5,Delivered,2022-05-10
ORD000319,CUST01001,STR017,Mobile App,2023-04-30,3360.0,Delivered,2023-12-18
ORD000320,CUST04327,STR010,Online,2022-03-05,54749.0,Delivered,2023-11-06
ORD000321,CUST02849,STR007,In-Store,2022-12-13,15320.0,Delivered,2023-02-26
ORD000322,CUST00530,STR049,In-Store,2023-03-11,3560.0,Delivered,2023-10-18
ORD000323,CUST02215,STR038,In-Store,2022-01-10,10079.0,Delivered,2023-10-29
